"control_id","control_name","is_enhancement","parent_control_id","baseline","baseline_levels","control_text","fedramp_assignments"
"AU-6(6)","Correlation with Physical Monitoring","true","AU-6","High","H","Correlate information from audit records with information obtained from monitoring physical access to further enhance the ability to identify suspicious, inappropriate, unusual, or malevolent activity.

__ AU-6 (6) Additional FedRAMP Requirements and Guidance:__

__ Requirement:__ Coordination between service provider and consumer shall be documented and accepted by the JAB/AO.",""
"AU-6(7)","Permitted Actions","true","AU-6","High","H","Specify the permitted actions for each [FedRAMP Assignment: information system process; role; user] associated with the review, analysis, and reporting of audit record information.","information system process; role; user"
"AU-7","Audit Record Reduction and Report Generation","false","","High","M,H","Provide and implement an audit record reduction and report generation capability that:

    a. Supports on-demand audit record review, analysis, and reporting requirements and after-the-fact investigations of incidents; and

    b. Does not alter the original content or time ordering of audit records.",""
"AU-7(1)","Automatic Processing","true","AU-7","High","M,H","Provide and implement the capability to process, sort, and search audit records for events of interest based on the following content: [Assignment: organization-defined fields within audit records].",""
"AU-8","Time Stamps","false","","High","L,M,H","a. Use internal system clocks to generate time stamps for audit records; and

    b. Record time stamps for audit records that meet [FedRAMP Assignment: one second granularity of time measurement] and that use Coordinated Universal Time, have a fixed local time offset from Coordinated Universal Time, or that include the local time offset as part of the time stamp.","one second granularity of time measurement"
"AU-9","Protection of Audit Information","false","","High","L,M,H","a. Protect audit information and audit logging tools from unauthorized access, modification, and deletion; and

    b. Alert [Assignment: organization-defined personnel or roles] upon detection of unauthorized access, modification, or deletion of audit information.",""
"AU-9(2)","Store on Separate Physical Systems or Components","true","AU-9","High","H","Store audit records [FedRAMP Assignment: at least weekly] in a repository that is part of a physically different system or system component than the system or component being audited.","at least weekly"
"AU-9(3)","Cryptographic Protection","true","AU-9","High","H","Implement cryptographic mechanisms to protect the integrity of audit information and audit tools.

__ AU-9 (3) Additional FedRAMP Requirements and Guidance:__

__ Guidance:__ Note that this enhancement requires the use of cryptography which must be compliant with Federal requirements and utilize FIPS validated or NSA approved cryptography (see SC-13.)",""
"AU-9(4)","Access by Subset of Privileged Users","true","AU-9","High","M,H","Authorize access to management of audit logging functionality to only [Assignment: organization-defined subset of privileged users or roles].",""
"AU-10","Non-repudiation","false","","High","H","Provide irrefutable evidence that an individual (or process acting on behalf of an individual) has performed [FedRAMP Assignment: minimum actions including the addition, modification, deletion, approval, sending, or receiving of data].","minimum actions including the addition, modification, deletion, approval, sending, or receiving of data"
