"identifier","family","family_long_name","base_control","enhancement","is_enhancement","sort_as","control_name","assessment_objective","examine","interview","test"
"PE-04","PE","PHYSICAL AND ENVIRONMENTAL PROTECTION","PE-04","","False","PE-04-00-00","Access Control for Transmission","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing access control for transmission mediums; system design documentation; facility communications and wiring diagrams; list of physical security safeguards applied to system distribution and transmission lines; system security plan; other relevant documents or records].","[SELECT FROM: Organizational personnel with physical access control responsibilities; organizational personnel with information security responsibilities].","[SELECT FROM: Organizational processes for access control to distribution and transmission lines; mechanisms/security safeguards supporting and/or implementing access control to distribution and transmission lines]."
"PE-04_ODP[01]","PE","","PE-04","","False","PE-04-00-01","","system distribution and transmission lines requiring physical access controls are defined;","","",""
"PE-04_ODP[02]","PE","","PE-04","","False","PE-04-00-02","","security controls to be implemented to control physical access to system distribution and transmission lines within the organizational facility are defined;","","",""
"PE-04","PE","","PE-04","","False","PE-04-00-03","","physical access to <PE-04_ODP[01] system distribution and transmission lines> within organizational facilities is controlled using <PE-04_ODP[02] security controls>.","","",""
"PE-05","PE","PHYSICAL AND ENVIRONMENTAL PROTECTION","PE-05","","False","PE-05-00-00","Access Control for Output Devices","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing access control for display medium; facility layout of system components; actual displays from system components; list of output devices and associated outputs requiring physical access controls; physical access control logs or records for areas containing output devices and related outputs; system security plan; other relevant documents or records].","[SELECT FROM: Organizational personnel with physical access control responsibilities; organizational personnel with information security responsibilities].","[SELECT FROM: Organizational processes for access control to output devices; mechanisms supporting and/or implementing access control to output devices]."
"PE-05_ODP","PE","","PE-05","","False","PE-05-00-01","","output devices that require physical access control to output are defined;","","",""
"PE-05","PE","","PE-05","","False","PE-05-00-02","","physical access to output from <PE-05_ODP output devices> is controlled to prevent unauthorized individuals from obtaining the output.","","",""
"PE-05(01)","PE","","PE-05","1","True","PE-05-01-00","Access Control for Output Devices | Access to Output by Authorized Individuals","[WITHDRAWN: Incorporated into PE-05.]","","",""
"PE-05(02)","PE","","PE-05","2","True","PE-05-02-00","Access Control for Output Devices | Link to Individual Identity","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing physical access control; system design documentation; system configuration settings and associated documentation; list of output devices and associated outputs requiring physical access controls; physical access control logs or records for areas containing output devices and related outputs; system audit records; system security plan; privacy plan; privacy impact assessment; privacy risk assessment documentation; other relevant documents or records].","[SELECT FROM: Organizational personnel with physical access control responsibilities; organizational personnel with information security and privacy responsibilities; system/network administrators; system developers].","[SELECT FROM: Organizational processes for access control to output devices; mechanisms supporting and/or implementing access control to output devices]."
"PE-05(02)","PE","","PE-05","2","True","PE-05-02-01","","individual identity is linked to the receipt of output from output devices.","","",""
"PE-05(03)","PE","","PE-05","3","True","PE-05-03-00","Access Control for Output Devices | Marking Output Devices","[WITHDRAWN: Incorporated into PE-22.]","","",""
"PE-06","PE","PHYSICAL AND ENVIRONMENTAL PROTECTION","PE-06","","False","PE-06-00-00","Monitoring Physical Access","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing physical access monitoring; physical access logs or records; physical access monitoring records; physical access log reviews; system security plan; other relevant documents or records].","[SELECT FROM: Organizational personnel with physical access monitoring responsibilities; organizational personnel with incident response responsibilities; organizational personnel with information security responsibilities].","[SELECT FROM: Organizational processes for monitoring physical access; mechanisms supporting and/or implementing physical access monitoring; mechanisms supporting and/or implementing the review of physical access logs]."
"PE-06_ODP[01]","PE","","PE-06","","False","PE-06-00-01","","the frequency at which to review physical access logs is defined;","","",""
"PE-06_ODP[02]","PE","","PE-06","","False","PE-06-00-02","","events or potential indication of events requiring physical access logs to be reviewed are defined;","","",""
"PE-06a.","PE","","PE-06","","False","PE-06-00-03","","physical access to the facility where the system resides is monitored to detect and respond to physical security incidents;","","",""
"PE-06b.[01]","PE","","PE-06","","False","PE-06-00-04","","physical access logs are reviewed <PE-06_ODP[01] frequency>;","","",""
"PE-06b.[02]","PE","","PE-06","","False","PE-06-00-05","","physical access logs are reviewed upon occurrence of <PE-06_ODP[02] events>;","","",""
"PE-06c.[01]","PE","","PE-06","","False","PE-06-00-06","","results of reviews are coordinated with organizational incident response capabilities;","","",""
"PE-06c.[02]","PE","","PE-06","","False","PE-06-00-07","","results of investigations are coordinated with organizational incident response capabilities.","","",""
"PE-06(01)","PE","","PE-06","1","True","PE-06-01-00","Monitoring Physical Access | Intrusion Alarms and Surveillance Equipment","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing physical access monitoring; physical access logs or records; physical access monitoring records; physical access log reviews; system security plan; privacy plan; privacy impact assessment; privacy risk assessment documentation; other relevant documents or records].","[SELECT FROM: Organizational personnel with physical access monitoring responsibilities; organizational personnel with incident response responsibilities; organizational personnel with information security and privacy responsibilities].","[SELECT FROM: Organizational processes for monitoring physical intrusion alarms and surveillance equipment; mechanisms supporting and/or implementing physical access monitoring; mechanisms supporting and/or implementing physical intrusion alarms and surveillance equipment]."
"PE-06(01)[01]","PE","","PE-06","1","True","PE-06-01-01","","physical access to the facility where the system resides is monitored using physical intrusion alarms;","","",""
"PE-06(01)[02]","PE","","PE-06","1","True","PE-06-01-02","","physical access to the facility where the system resides is monitored using physical surveillance equipment.","","",""
"PE-06(02)","PE","","PE-06","2","True","PE-06-02-00","Monitoring Physical Access | Automated Intrusion Recognition and Responses","Determine if:","[SELECT FROM: Physical and environmental protection policy; procedures addressing physical access monitoring; system design documentation; system configuration settings and associated documentation; system audit records; list of response actions to be initiated when specific classes/types of intrusions are recognized; system security plan; privacy plan; other relevant documents or records].","[SELECT FROM: Organizational personnel with physical access monitoring responsibilities; organizational personnel with information security and privacy responsibilities].","[SELECT FROM: Organizational processes for monitoring physical access; automated mechanisms supporting and/or implementing physical access monitoring; automated mechanisms supporting and/or implementing recognition of classes/types of intrusions and initiation of a response]."
"PE-06(02)_ODP[01]","PE","","PE-06","2","True","PE-06-02-01","","classes or types of intrusions to be recognized by automated mechanisms are defined;","","",""
"PE-06(02)_ODP[02]","PE","","PE-06","2","True","PE-06-02-02","","response actions to be initiated by automated mechanisms when organization-defined classes or types of intrusions are recognized are defined;","","",""
