term,definition,source_anchor,notes
internet of things,"Technology describing everyday objects (rather than computers and smartphones) that can connect to the internet. Examples include speakers, televisions and security cameras.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: iot
ip,"Internet Protocol.  A communications protocol that relays data over network boundaries, and establishes routing across the internet.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: internet protocol; bgp; ip address; router; protocol | see also: internet protocol; bgp; ip address; router; protocol
ip address,Internet Protocol address. A number assigned to each device that is sending or receiving data across the internet or a LAN.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: ip; router
ipsec,"Internet Protocol Security. A suite of protocols that secures data sent over an IP network, often used to establish VPNs.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: internet protocol security; vpn | see also: internet protocol security; vpn
isp,"Internet Service Provider. A company that provides individuals and organisations access to the internet, and other related services.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: internet service provider; carrier | see also: internet service provider; carrier
ixp,Internet Exchange Point. A location where ISPs exchange data between their networks.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: internet exchange point
keylogger,Hardware or software used to covertly record each keystroke entered into a computer or device.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: end user device; keystroke
keystroke,A single press of a key on a computer.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,
kms,"Key management system. The processes used to generate, store, share, use and destroy cryptographic keys",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
lan,"Local area network. A collection of computers and devices in the same location (usually a building), connected by ethernet or wifi.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: local area network; wan; wifi | see also: local area network; wan; wifi
large language model,"Large language models (LLMs) use algorithms trained on a huge amount of data, turning relationships between pieces of data into probabilities to predict sequences of text (or increasingly other content) in response to user prompts.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: llm; ai; artificial intelligence | see also: llm; ai; artificial intelligence
llm,"Large language models (LLMs) use algorithms trained on a huge amount of data, turning relationships between pieces of data into probabilities to predict sequences of text (or increasingly other content) in response to user prompts.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: large language model; ai; artificial intelligence | see also: large language model; ai; artificial intelligence
logging,"Generating, capturing, retaining and storing information on security-relevant events or behaviour from computer systems.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: security monitoring | see also: security monitoring
machine learning,Machine learning (ML) is a type of AI by which computers find patterns in data or solve problems automatically without having to be explicitly programmed. Most AI in current use is built using ML techniques.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: ml; ai | see also: ml; ai
macro,A small program that can automate tasks in applications (such as Microsoft 365) which attackers can exploit to cause harm.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: vulnerabilities
mail check,An NCSC service that helps public sector organisations improve the security of their email domains.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: active cyber defence
malvertising,Using online advertising as a delivery method for malware.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: malicious advertising; malware | see also: malicious advertising; malware
malware,"Derived from 'malicious software', malware is any kind of software that can damage computer systems, networks or devices. Includes viruses, ransomware and trojans.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: malicious software; virus | see also: malicious software; virus
mdm,"Mobile Device Management. Software that simplifies the administration and configuration of smartphones, laptops, tablets and other devices across an organisation.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: mobile device management; devices | see also: mobile device management; devices
metadata,Metadata describes the properties of data and communications. Examples include file date and packet size.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,
mitigation,Actions that organisations and individuals can take to minimise and address risks.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,
monitoring,The analysis of logging information to identify unusual events or patterns of behaviour.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: logging
national protective security authority (npsa),The National Protective Security Authority (NPSA) is the UK’s National Technical Authority for physical and personnel protective security.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: npsa
ncsc,"The National Cyber Security Centre, the UK national technical authority for cyber security.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: national cyber security centre
ncsc for startups,An NCSC initiative where startup organisations work with NCSC experts to address important cyber challenges.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,
network,Multiple computers and/or devices connected to shared resources and information.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: lan; wan
oauth,"A protocol that allows a 3rd party (for example, Google or Microsoft) to authorise access to services on a user's behalf.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: authentication
oem,Original Equipment Manufacturer. An organisation that makes hardware or software that's used in other products.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: original equipment manufacturer
open source,"When referring to software, software for which the source code is made freely available for use and modification.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,
operating system,"The basic software running on computers, tablets and smartphones, required to run additional applications and hardware.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: os; platform | see also: os; platform
operational security,"The day-to-day protection of computer systems from cyber attack. Examples include backup, incident management and patching.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: incident management; patching
operational technology,"Technology that interfaces with the physical world and includes Industrial Control Systems (ICS), Supervisory Control and Data Acquisition (SCADA) and Distributed Control Systems (DCS)",https://www.ncsc.gov.uk/section/advice-guidance/glossary,also known as: ot
passkeys,A more secure alternative to passwords that you don't need to remember as they are created and managed safely on your device(s).,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: authentication; passwords
passphrase,"A sequence of words or other characters longer than a normal password, used to verify the identity of a user, usually to gain access to an account, website or system.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: passwords
password manager,"Software which can generate, store and retrieve passwords.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: passwords
password spraying,Using a small number of commonly-used passwords in an attempt to access to a large number of accounts.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: brute force attack
passwords,"A sequence of characters used to verify the identity of a user, usually to gain access to an account, website or system.",https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: passphrase
patching,Installing updates to devices or software to improve security and/or enhance functionality.,https://www.ncsc.gov.uk/section/advice-guidance/glossary,see also: vulnerabilities
