"task_id","activity_id","activity_title","process_prefix","description"
"IM-2.1","IM-2","PERFORM INFORMATION MANAGEMENT","IM","Securely obtain, develop, or transform the identified information items."
"IM-2.2","IM-2","PERFORM INFORMATION MANAGEMENT","IM","Securely maintain information items and their storage records, and record the security status of information."
"IM-2.3","IM-2","PERFORM INFORMATION MANAGEMENT","IM","Securely publish, distribute, or provide access to information and information items to designated stakeholders."
"IM-2.4","IM-2","PERFORM INFORMATION MANAGEMENT","IM","Securely archive designated information."
"IM-2.5","IM-2","PERFORM INFORMATION MANAGEMENT","IM","Securely dispose of unwanted, invalid, or unvalidated information."
"IN-1.1","IN-1","PREPARE FOR INTEGRATION","IN","Identify and define checkpoints for the correct secure activation and integrity of the interfaces and the selected system functions as the system elements are synthesized."
"IN-1.2","IN-1","PREPARE FOR INTEGRATION","IN","Define the security aspects of the integration strategy."
"IN-1.3","IN-1","PREPARE FOR INTEGRATION","IN","Identify the security-relevant constraints and objectives from integration to be incorporated into the system requirements, architecture, or design."
"IN-1.4","IN-1","PREPARE FOR INTEGRATION","IN","Identify the security aspects for enabling systems, services, and materials needed to support integration."
"IN-1.5","IN-1","PREPARE FOR INTEGRATION","IN","Identify and plan for enabling systems, services, and materials needed to support the security aspects of integration."
"IN-1.6","IN-1","PREPARE FOR INTEGRATION","IN","Obtain or acquire access to the security aspects of enabling systems, services, and materials to be used in integration."
"IN-2.1","IN-2","PERFORM INTEGRATION","IN","Check interface availability and conformance of the interfaces in accordance with the security aspects of interface definitions and integration schedules."
"IN-2.2","IN-2","PERFORM INTEGRATION","IN","Perform actions to address any security-relevant conformance or availability issues."
"IN-2.3","IN-2","PERFORM INTEGRATION","IN","Securely combine the implemented system elements in accordance with planned sequences."
"IN-2.4","IN-2","PERFORM INTEGRATION","IN","Securely integrate system element configurations until the complete system is securely synthesized."
"IN-2.5","IN-2","PERFORM INTEGRATION","IN","Check for the expected results of interfaces, interconnections, selected functions, and security characteristics."
"IN-3.1","IN-3","MANAGE RESULTS OF INTEGRATION","IN","Record the security aspects of integration results and any anomalies encountered."
"IN-3.2","IN-3","MANAGE RESULTS OF INTEGRATION","IN","Maintain traceability of the security aspects of integrated system elements."
"IN-3.3","IN-3","MANAGE RESULTS OF INTEGRATION","IN","Provide the security-relevant artifacts that have been selected for baselines."
"IP-1.1","IP-1","PREPARE FOR IMPLEMENTATION","IP","Define the trustworthy secure aspects of the implementation strategy."
"IP-1.2","IP-1","PREPARE FOR IMPLEMENTATION","IP","Identify security-relevant constraints and objectives from implementation in the system security requirements, architecture and design characteristics, or implementation techniques."
"IP-1.3","IP-1","PREPARE FOR IMPLEMENTATION","IP","Identify the security aspects for enabling systems, services, and materials needed to support implementation."
"IP-1.4","IP-1","PREPARE FOR IMPLEMENTATION","IP","Identify and plan for enabling systems, services, and materials needed to support the security aspects of implementation."
"IP-1.5","IP-1","PREPARE FOR IMPLEMENTATION","IP","Obtain or acquire access to the security aspects of enabling systems, services, and materials to be used in implementation."
"IP-2.1","IP-2","PERFORM IMPLEMENTATION","IP","Realize or adapt system elements in accordance with the security aspects of the implementation strategy and implementation procedures, as well as security-relevant constraints."
"IP-2.2","IP-2","PERFORM IMPLEMENTATION","IP","Place the system element in a secure state for future use, as needed."
"IP-2.3","IP-2","PERFORM IMPLEMENTATION","IP","Record objective evidence that system elements meet the system security requirements."
"IP-3.1","IP-3","MANAGE RESULTS OF IMPLEMENTATION","IP","Record the security aspects of implementation results and any anomalies encountered."
"IP-3.2","IP-3","MANAGE RESULTS OF IMPLEMENTATION","IP","Maintain traceability of the security aspects of implemented system elements."
"IP-3.3","IP-3","MANAGE RESULTS OF IMPLEMENTATION","IP","Provide the security-relevant artifacts that have been selected for baselines."
"KM-1.1","KM-1","PLAN KNOWLEDGE MANAGEMENT","KM","Define the security aspects of the knowledge management strategy."
"KM-1.2","KM-1","PLAN KNOWLEDGE MANAGEMENT","KM","Identify the security knowledge, skills, and knowledge assets to be managed."
"KM-1.3","KM-1","PLAN KNOWLEDGE MANAGEMENT","KM","Identify projects that can benefit from the application of the security knowledge, skills, and knowledge assets."
"KM-2.1","KM-2","SHARE KNOWLEDGE AND SKILLS THROUGHOUT THE ORGANIZATION","KM","Establish and maintain a classification for capturing and sharing security knowledge and skills."
"KM-2.2","KM-2","SHARE KNOWLEDGE AND SKILLS THROUGHOUT THE ORGANIZATION","KM","Capture or acquire security knowledge and skills."
"KM-2.3","KM-2","SHARE KNOWLEDGE AND SKILLS THROUGHOUT THE ORGANIZATION","KM","Make security knowledge and skills accessible across the organization."
"KM-3.1","KM-3","SHARE KNOWLEDGE ASSETS THROUGHOUT THE ORGANIZATION","KM","Establish a taxonomy to organize security knowledge assets."
"KM-3.2","KM-3","SHARE KNOWLEDGE ASSETS THROUGHOUT THE ORGANIZATION","KM","Develop or acquire security knowledge assets."
"KM-3.3","KM-3","SHARE KNOWLEDGE ASSETS THROUGHOUT THE ORGANIZATION","KM","Make all knowledge assets securely accessible to the organization."
"KM-4.1","KM-4","MANAGE KNOWLEDGE, SKILLS, AND KNOWLEDGE ASSETS","KM","Maintain security knowledge, skills, and knowledge assets."
"KM-4.2","KM-4","MANAGE KNOWLEDGE, SKILLS, AND KNOWLEDGE ASSETS","KM","Monitor and record the use of security knowledge, skills, and knowledge assets."
"KM-4.3","KM-4","MANAGE KNOWLEDGE, SKILLS, AND KNOWLEDGE ASSETS","KM","Periodically reassess the currency of the security aspects of technology and market needs of the security knowledge assets."
"LM-1.1","LM-1","ESTABLISH THE LIFE CYCLE PROCESSES","LM","Establish policies and procedures for process management and deployment that are consistent with the security aspects of organizational strategies."
"LM-1.2","LM-1","ESTABLISH THE LIFE CYCLE PROCESSES","LM","Establish the security aspects of the life cycle processes that implement the requirements of [\[4\]](#page-52-3) and are consistent with organizational strategies."
"LM-1.3","LM-1","ESTABLISH THE LIFE CYCLE PROCESSES","LM","Define the security roles, responsibilities, accountabilities, and authorities to facilitate implementation of the security aspects of life cycle processes and the strategic management of life cycles."
"LM-1.4","LM-1","ESTABLISH THE LIFE CYCLE PROCESSES","LM","Define the security aspects of the criteria that control progression through the life cycle."
"LM-1.5","LM-1","ESTABLISH THE LIFE CYCLE PROCESSES","LM","Establish security criteria for the standard life cycle models for the organization, including criteria for outcomes for each stage."
"LM-2.1","LM-2","ASSESS THE LIFE CYCLE PROCESS","LM","Monitor the security aspects of process execution across the organization."
"LM-2.2","LM-2","ASSESS THE LIFE CYCLE PROCESS","LM","Conduct reviews of the security aspects of the life cycle models used by the projects."
"LM-2.3","LM-2","ASSESS THE LIFE CYCLE PROCESS","LM","Identify security-relevant improvement opportunities from assessment results."
"LM-3.1","LM-3","IMPROVE THE PROCESS","LM","Prioritize and plan for security-relevant improvement opportunities."
"LM-3.2","LM-3","IMPROVE THE PROCESS","LM","Implement security improvement opportunities, and inform relevant stakeholders."
"MA-1.1","MA-1","PREPARE FOR MAINTENANCE AND LOGISTICS","MA","Define the security aspects of the maintenance strategy."
"MA-1.2","MA-1","PREPARE FOR MAINTENANCE AND LOGISTICS","MA","Define the security aspects of the logistics strategy."
"MA-1.3","MA-1","PREPARE FOR MAINTENANCE AND LOGISTICS","MA","Identify the security-relevant constraints and objectives that result from the security aspects of maintenance and logistics to be incorporated into the system requirements, architecture, and design."
"MA-1.4","MA-1","PREPARE FOR MAINTENANCE AND LOGISTICS","MA","Identify trade-offs such that the security aspects of the system and associated maintenance and logistics actions result in a solution that is trustworthy, secure, affordable, operable, supportable, and sustainable."
"MA-1.5","MA-1","PREPARE FOR MAINTENANCE AND LOGISTICS","MA","Identify the security aspects for enabling systems, products, and services needed to support maintenance and logistics."
"MA-1.6","MA-1","PREPARE FOR MAINTENANCE AND LOGISTICS","MA","Identify and plan for enabling systems, products, and services needed to support the security aspects of maintenance and logistics."
"MA-1.7","MA-1","PREPARE FOR MAINTENANCE AND LOGISTICS","MA","Obtain or acquire access to the security aspects of enabling systems, products, and services to be used in maintenance and logistics."
"MA-2.1","MA-2","PERFORM MAINTENANCE","MA","Monitor and review stakeholder requirements and incident and problem reports to identify security-relevant corrective, preventive, adaptive, additive, or perfective maintenance needs."
"MA-2.2","MA-2","PERFORM MAINTENANCE","MA","Record the security aspects of maintenance incidents and problems, and track their secure resolution."
"MA-2.3","MA-2","PERFORM MAINTENANCE","MA","Analyze the impact of the changes introduced by maintenance actions on the security aspects of the system and system elements."
